site_id,pec_id,site_name,owner_applicant,street_address,parcel_id,acres,building_sq_ft,mw_reported,construction_type,build_status,notes,source_link,tax_map_link,date_updated,latitude,longitude,county_fips,county_name,inside_target_county,inside_buffer_zone,source_org,source_url,retrieved_at
261,PEC-PWM-0030,POWERLOFT @ INNOVATION I,POWERLOFT @ INNOVATION I,9651 HORNBAKER RD,7595-96-0662,19.5,"247,608",,Complete,Existing,,,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mpropertynumber=248042&mtab=property&p=248042,2024-04-10,38.747359460000034,-77.53176725999997,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
238,PEC-PWM-0007,Village Place at Gainesville Technology Park,CTP-I LLC,14403 JOHN MARSHALL HWY,7397-36-4811,45.46,"1,188,143",,New,Proposed,,https://www.datacenterdynamics.com/en/news/data-center-campus-gets-rezoning-approval-in-prince-william-county-virginia/,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mtab=property&mpropertynumber=229695,2025-07-15,38.801835080000046,-77.62059943999998,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
23,PEC-FAX-0007A,Coresite 12100 SV & 12098 SV,Coresite,12379 A SUNRISE VALLEY DR,0173 01 0032A,0.0,"610,643",,Expansion,Proposed,existing square footage has been subtracted,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0173%2001%20%200032A&jur=129&taxyr=2025,2024-04-10,38.94845694000003,-77.37170699999996,51059,Fairfax,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
215,PEC-LDN-0141,Greenlin Park,Charles S Kuhn/JK Landholdings II LLC,41453 HOGELAND MILL RD,237395293000,85.18,227184,,New,Proposed,Rezoning does not cover the entire parcel,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/F4C18E37-B411-4D35-8027-7822DF69FCE9?tab=attachments,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=237395293000&jur=107&taxyr=2024,2024-04-10,39.05610028714035,-77.55162153438134,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
401,PEC-LDN-0117A,Northwoods Property,Amazon Data Services Inc,43649 LIGHT SPEED PLZ,122207249000,,263340,,Complete,Existing,Building A,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/3399a93f-9e75-48d2-a377-ecd0d9be35c1?tab=attachments,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=commercial&UseSearch=no&pin=122207249000&jur=107&taxyr=2025&LMparent=20,2025-08-06,38.98071574966239,-77.49381778991443,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
430,PEC-LDN-0163,DULLES DISTRIBUTION Landbay A,Prologis,"45055 UNDERWOOD LN , STERLING, VA, 20166",46278993000,16.32,305000,,Redevelopment,Proposed,"Includes Landbay C, 4 acre substation site",https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/5a05cbbe-77b4-40ec-a02a-df67cd82d9dc?tab=locations,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=046278993000&jur=107&taxyr=2025,2025-08-08,38.980272859743,-77.44147591017281,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
92,PEC-LDN-0023,GI TC 45360 SEVERN WAY LLC,GI TC 45360 SEVERN WAY LLC,45360 W SEVERN WAY,042200988000,7.66,"126,900",,Complete,Existing,"Shown as ""Storage Warehouse""",,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=042200988000&jur=107&taxyr=2024&LMparent=20,2024-04-10,39.02167671000006,-77.43291712999996,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
115,PEC-LDN-0046,Aligned Energy Data Center,Vantage Data Centers VA2 LLC; Ryan Dorsett,22715 RELOCATION DR,045279612000,10.14,"306,224",,Complete,Existing,"Computer Center.  Traffic study references ""453,377 sq ft of data center"", but building appears complete",https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/1EA54DC9-FFF0-40F8-AF9A-F9F78538C9FA?tab=locations,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=045279612000&jur=107&taxyr=2024,2025-08-01,38.98848953000003,-77.44085571999994,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
384,PEC-PWM-0086,NVA05C,TPC Wellington LC (suspected STACK Infrastructure),"8860 WELLINGTON RD , MANASSAS, VA, 20109",7696-41-4699,23.83,"261, 312",,New,Proposed,This project covers multiple parcels. The total acreage has been represented here. Tax parcel information unavailable at time of addition.,https://egcss.pwcgov.org/SelfService#/plan/ec71ba9b-8783-4bd2-ab90-57a68d5f7d0c?tab=locations,,2025-07-12,38.76122098014054,-77.5116319497338,51153,Prince William,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
138,PEC-LDN-0067,RAGING WIRE VA1,RAGINGWIRE DATA CENTERS INC,44664 GUILFORD DR,060298548000,7.2,"109,300",,Complete,Existing,Computer Center,,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=060298548000&jur=107&taxyr=2024&LMparent=20,2024-04-10,39.02266089000005,-77.45487139999993,51107,Loudoun,True,True,Piedmont Environmental Council (PEC),https://services3.arcgis.com/mTaShYKffyWc5uRb/arcgis/rest/services/Data_Centers_Virginia/FeatureServer/19,2026-02-22T00:00:00+00:00
